Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal
870,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1534/g3.115.024299,,2.91,Service,mathias.brannvall@medsci.uu.se,2160-1836,Quantitative Trait Locus and Genetical Genomics Analysis Identifies Putatively C...,"Johnsson M, Jonsson KB, ..., Wright D",G3-GENES GENOM GENET,26637433
873,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.18632/oncotarget.11773,,5.008,Collaborative,mathias.brannvall@medsci.uu.se,1949-2553,Deep targeted sequencing in pediatric acute lymphoblastic leukemia unveils disti...,"Mårten Lindqvist C, Lundmark A, ..., Syvänen A",ONCOTARGET,27590521
875,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2217/epi-2016-0044,,4.044,Service,mathias.brannvall@medsci.uu.se,1750-1911 1750-192X,Epigenome-wide analysis of DNA methylation reveals a rectal cancer-specific epig...,"Vymetalkova V, Vodicka P, ..., Farkas SA",EPIGENOMICS-UK,27529132
883,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3109/00365521.2016.1166519,,2.199,Service,mathias.brannvall@medsci.uu.se,0036-5521 1502-7708,A genetic variant in proximity to the gene LYPLAL1 is associated with lower hung...,"Bandstein M, Mwinyi J, ..., Schiöth HB",SCAND J GASTROENTERO,27181159
886,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3389/fnhum.2016.00052,,3.634,Service,mathias.brannvall@medsci.uu.se,1662-5161,"Resting-State Brain and the FTO Obesity Risk Allele: Default Mode, Sensorimotor,...","Olivo G, Wiemerslage L, ..., Schiöth HB",FRONT HUM NEUROSCI,26924971
890,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3945/ajcn.116.130252,,6.703,Service,mathias.brannvall@medsci.uu.se,0002-9165 1938-3207,Genetic and environmental effects on body mass index from infancy to the onset o...,"Silventoinen K, Jelenkovic A, ..., Kaprio J",AM J CLIN NUTR,27413137
893,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1007/s11557-016-1199-3,,1.572,Service,Olga.Pettersson@igp.uu.se,1617-416X 1861-8952,Scolytus multistriatus associated with Dutch elm disease on the island of Gotlan...,"Menkis A, Östbrant I, ..., Vasaitis R",MYCOL PROG,
896,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.ecss.2016.06.016,,2.335,Service,Olga.Pettersson@igp.uu.se,0272-7714,Regional genetic differentiation in the blue mussel from the Baltic Sea area,"Larsson J, Lind E, ..., Lönn M",ESTUAR COAST SHELF S,
898,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.foreco.2016.08.006,,2.826,Service,Olga.Pettersson@igp.uu.se,0378-1127,Long-term effects of tree harvesting on ectomycorrhizal fungal communities in bo...,"Varenius K, Kårén O, ..., Dahlberg A",FOREST ECOL MANAG,
902,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.myc.2016.02.001,,1.165,Service,Olga.Pettersson@igp.uu.se,1340-3540,DNA-metabarcoding uncovers the diversity of soil-inhabiting fungi in the tropica...,"Urbina H, Scofield DG, ..., Rosling A",MYCOSCIENCE,
909,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1038/npjsba.2016.5,,Kan inte hitta,Service,Olga.Pettersson@igp.uu.se,2056-7189,Regulation of amino-acid metabolism controls flux to lipid accumulation in Yarro...,"Kerkhoven EJ, Pomraning KR, ..., Nielsen J",,
915,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/efp.12236,,1.437,Service,Olga.Pettersson@igp.uu.se,1437-4781,"Analyses of the ash dieback pathogen,Hymenoscyphus fraxineus, suggest role of tr...","Nguyen DT, Cleary MR, ..., Stenlid J",FOREST PATHOL,
917,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/jzs.12127,,1.821,Service,Olga.Pettersson@igp.uu.se,0947-5745,"Assessing the taxonomic status ofOsmoderma cristinae(Coleoptera: Scarabaeidae), ...","Zauli A, Carpaneto GM, ..., Svensson GP",J ZOOL SYST EVOL RES,
918,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/mec.13797,,5.947,Service,Olga.Pettersson@igp.uu.se,0962-1083,Genetic rescue in a severely inbred wolf population,"Åkesson M, Liberg O, ..., Flagstad Ø",MOL ECOL,27497431
919,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/nph.13946,,7.21,Service,Olga.Pettersson@igp.uu.se,0028-646X,Phytophthora infestansArgonaute 1 binds microRNA and small RNAs from effector ge...,"Åsman AKM, Fogelqvist J, ..., Dixelius C",NEW PHYTOL,27010746
925,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1158/1538-7445.AM2016-2473,,8.556,Service,Olga.Pettersson@igp.uu.se,0008-5472 1538-7445,Abstract 2473: Combined BET-bromodomain and CDK2 inhibition in MYC-driven medull...,"Bolin S, Borgenvik A, ..., Swartling FJ",CANCER RES,
926,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1158/1538-7445.AM2016-2688,,8.556,Collaborative,Olga.Pettersson@igp.uu.se,0008-5472 1538-7445,Abstract 2688: A forward genetics screen of murine brain tumors identifies novel...,"Cancer M, Weishaupt H, ..., Swartling FJ",CANCER RES,
933,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s40793-016-0199-x,,1.594,Service,Olga.Pettersson@igp.uu.se,1944-3277,"Complete genome sequence of Methanoculleus bourgensis strain MAB1, the syntrophi...","Manzoor S, Schnürer A, ..., Müller B",STAND GENOMIC SCI,27777650
943,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.18632/oncotarget.6843,,5.008,Service,Olga.Pettersson@igp.uu.se,1949-2553,Genome-wide profiling of histone H3 lysine 27 and lysine 4 trimethylation in mul...,,ONCOTARGET,26755663
948,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.2337/db16-0616,,8.784,Service,Olga.Pettersson@igp.uu.se,0012-1797 1939-327X,Expression of Interferon-Stimulated Genes in Insulitic Pancreatic Islets of Pati...,"Lundberg M, Krogvold L, ..., Skog O",DIABETES,27422384
949,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.3389/fnhum.2016.00052,,3.634,Service,Olga.Pettersson@igp.uu.se,1662-5161,"Resting-State Brain and the FTO Obesity Risk Allele: Default Mode, Sensorimotor,...","Olivo G, Wiemerslage L, ..., Schiöth HB",FRONT HUM NEUROSCI,26924971
964,Next-Generation Diagnostics,Clinical Genomics,10.1002/ajmg.a.37387,,2.082,Service,valtteri.wirta@scilifelab.se,1552-4825,Pathogenenic variant in theCOL2A1gene is associated with Spondyloepiphyseal dysp...,"Hammarsjö A, Nordgren A, ..., Grigelioniene G",AM J MED GENET A,26420734
967,Next-Generation Diagnostics,Clinical Genomics,10.1016/j.ajhg.2016.02.004,,10.794,Service,valtteri.wirta@scilifelab.se,0002-9297,Disruption of POGZ Is Associated with Intellectual Disability and Autism Spectru...,"Stessman HA, Willemsen MH, ..., Kleefstra T",AM J HUM GENET,26942287
973,Next-Generation Diagnostics,Clinical Genomics,10.1111/jdv.13806,,3.029,Service,valtteri.wirta@scilifelab.se,0926-9959,The tight junction gene Claudin-1 is associated with atopic dermatitis among Eth...,"Asad S, Winge M, ..., Bradley M",J EUR ACAD DERMATOL,27581203
974,Next-Generation Diagnostics,Clinical Genomics,10.1111/joim.12399,,7.803,Service,valtteri.wirta@scilifelab.se,0954-6820,Exome and genome sequencing: a revolution for the discovery and diagnosis of mon...,"Stranneheim H, Wedell A",J INTERN MED,26250718
976,Next-Generation Diagnostics,Clinical Genomics,10.1128/genomeA.00552-16,,1.18,Collaborative,lars.engstrand@scilifelab.se,2169-8287,Draft Genome Sequence of Moraxella catarrhalis Type Strain CCUG 353 T,"Jakobsson HE, Salvà-Serra F, ..., Moore ERB",,27313296
987,Next-Generation Diagnostics,Integrative Clinical Genomics,10.1128/genomeA.00175-16,,1.18,Collaborative,per.sikora@gu.se,2169-8287,Draft Genome Sequence of Streptococcus gordonii Type Strain CCUG 33482 T,"Salvà-Serra F, Jakobsson HE, ..., Moore ERB",,27013051
988,Next-Generation Diagnostics,Integrative Clinical Genomics,10.1128/genomeA.00552-16,,1.18,Collaborative,per.sikora@gu.se,2169-8287,Draft Genome Sequence of Moraxella catarrhalis Type Strain CCUG 353 T,"Jakobsson HE, Salvà-Serra F, ..., Moore ERB",,27313296
1006,Regional,Bioinformatics and Expression Analysis (BEA),10.1016/j.gdata.2015.11.025,,0.52,Service,fredrik.fagerstrom-billai@ki.se,2213-5960,mRNA and microRNA transcriptomics analyses in a murine model of dystrophin loss ...,"Roberts TC, Blomberg KEM, ..., Wood MJ",,26981371
1007,Regional,Bioinformatics and Expression Analysis (BEA),10.1038/ncomms12321,,11.329,Service,fredrik.fagerstrom-billai@ki.se,2041-1723,Stromal Hedgehog signalling is downregulated in colon cancer and its restoration...,"Gerling M, Büller NVJA, ..., Toftgård R",NAT COMMUN,27492255
1019,Regional,BioMaterial Interactions (BioMat),10.1021/acsbiomaterials.6b00484,,Not Available,Collaborative,marjam.ott@angstrom.uu.se,2373-9878 2373-9878,Hyperelastic Nanocellulose-Reinforced Hydrogel of High Water Content for Ophthal...,"Tummala GK, Joffre T, ..., Mihranyan A",ACS BIOMATER-SCI ENG,
1020,Regional,BioMaterial Interactions (BioMat),10.1021/acssensors.6b00379,,Kan inte hitta,Collaborative,marjam.ott@angstrom.uu.se,2379-3694 2379-3694,Rapid Newcastle Disease Virus Detection Based on Loop-Mediated Isothermal Amplif...,"Tian B, Ma J, ..., Strömberg M",,
1034,Regional,"Mass Spectrometry-based Proteomics, Uppsala",10.1038/srep33170,,5.228,Service,margareta.ramstrom@kemi.uu.se,2045-2322,The infectious particle of insect-borne totivirus-like Omono River virus has rai...,"Okamoto K, Miyazaki N, ..., Hajdu J",SCI REP-UK,27616740
1044,Regional,Zebrafish,10.1016/j.stemcr.2015.12.004,,7.023,Collaborative,katarina.garpenstrand@scilifelab.uu.se,2213-6711,BMP Sustains Embryonic Stem Cell Self-Renewal through Distinct Functions of Diff...,"Morikawa M, Koinuma D, ..., Miyazono K",STEM CELL REP,26771354
1045,Regional,Zebrafish,10.1038/nprot.2016.141,,9.646,Technology development,katarina.garpenstrand@scilifelab.uu.se,1754-2189 1750-2799,A high-throughput functional genomics workflow based on CRISPR/Cas9-mediated tar...,"Varshney GK, Carrington B, ..., Burgess SM",NAT PROTOC,27809318
1070,Structural Biology,Protein Science Facility,10.1158/0008-5472.CAN-16-0584,,8.556,Service,helena.berglund@ki.se,0008-5472 1538-7445,NUDT15 Hydrolyzes 6-Thio-DeoxyGTP to Mediate the Anticancer Efficacy of 6-Thiogu...,"Valerie NCK, Hagenkort A, ..., Helleday T",CANCER RES,27530327
1078,Structural Biology,Swedish NMR Centre (SNC),10.1002/slct.201601468,,0,Collaborative,goran.karlsson@nmr.gu.se,2365-6549,Combined Solution- and Magic Angle Spinning NMR Reveals Regions of Distinct Dyna...,"Lendel C, Sparrman T, ..., Härd T",,
1080,Structural Biology,Swedish NMR Centre (SNC),10.1007/s12155-015-9698-7,,3.309,Collaborative,goran.karlsson@nmr.gu.se,1939-1234 1939-1242,Biochemical Conversion of Torrefied Norway Spruce After Pretreatment with Acid o...,"Normark M, Pommer L, ..., Jönsson LJ",BIOENERG RES,
1082,Structural Biology,Swedish NMR Centre (SNC),10.1016/j.bbamem.2016.03.003,,3.687,Collaborative,goran.karlsson@nmr.gu.se,0005-2736,The oxidized phospholipid PazePC promotes permeabilization of mitochondrial memb...,"Lidman M, Pokorná Š, ..., Gröbner G",BBA-BIOMEMBRANES,26947183
1083,Structural Biology,Swedish NMR Centre (SNC),10.1016/j.biombioe.2016.09.004,,3.249,Service,goran.karlsson@nmr.gu.se,0961-9534,Using 2D NMR to characterize the structure of the low and high molecular weight ...,"Mattsson C, Andersson S, ..., Theliander H",BIOMASS BIOENERG,
1084,Structural Biology,Swedish NMR Centre (SNC),10.1016/j.bpj.2015.11.387,,3.632,Collaborative,goran.karlsson@nmr.gu.se,0006-3495,Dynamical and Structural Alterations withing Lipid-Protein Assemblies Control Ap...,"Dingeldein AP, Lidman M, ..., Gröbner G",BIOPHYS J,
1088,Structural Biology,Swedish NMR Centre (SNC),10.1016/j.cej.2016.03.103,,5.31,Collaborative,goran.karlsson@nmr.gu.se,1385-8947,In quest for the optimal delignification of lignocellulosic biomass using hydrat...,"Anugwom I, Rujana L, ..., Mikkola J",CHEM ENG J,
1090,Structural Biology,Swedish NMR Centre (SNC),10.1016/j.colsurfa.2016.01.008,,2.76,Service,goran.karlsson@nmr.gu.se,0927-7757,An Ouzo emulsion of toluene in water characterized by NMR diffusometry and stati...,"Tehrani-Bagha AR, Viladot A, ..., Nordstierna L",COLLOID SURFACE A,
1096,Structural Biology,Swedish NMR Centre (SNC),10.1021/jacs.6b03842,,13.038,Service,goran.karlsson@nmr.gu.se,0002-7863 1520-5126,Substituent Effects on the [N–I–N]+Halogen Bond,"Carlsson AC, Mehmeti K, ..., Erdélyi M",J AM CHEM SOC,27265247
1097,Structural Biology,Swedish NMR Centre (SNC),10.1038/ncomms13634,,11.329,Collaborative,goran.karlsson@nmr.gu.se,2041-1723,An oxygen-sensitive toxin–antitoxin system,"Marimon O, Teixeira JMC, ..., Pons M",NAT COMMUN,27929062
1100,Structural Biology,Swedish NMR Centre (SNC),10.1039/C6CP02970A,,4.449,Service,goran.karlsson@nmr.gu.se,1463-9076 1463-9084,Delineating the conformational flexibility of trisaccharides from NMR spectrosco...,"Yang M, Angles d’Ortoli T, ..., MacKerell AD",PHYS CHEM CHEM PHYS,27346493
1110,Structural Biology,Swedish NMR Centre (SNC),10.1038/srep29232,,5.228,Collaborative,goran.karlsson@nmr.gu.se,2045-2322,A C2HC zinc finger is essential for the RING-E2 interaction of the ubiquitin lig...,"Bijlmakers M, Teixeira JMC, ..., Crosas B",SCI REP-UK,27411375
1111,Structural Biology,Swedish NMR Centre (SNC),10.3390/diseases4010003,,Kan inte hitta,Service,goran.karlsson@nmr.gu.se,2079-9721,Phytoconstituents with Radical Scavenging and Cytotoxic Activities from Diospyro...,"Aronsson P, Munissi J, ..., Erdelyi M",,
