Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
511,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1038/sdata.2016.18,,Kan inte hitta,Collaborative,mikael.borg@bils.se,2052-4463,The FAIR Guiding Principles for scientific data management and stewardship,"Wilkinson MD, Dumontier M, ..., Mons B",,26978244
512,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1038/srep20104,,5.228,Collaborative,mikael.borg@bils.se,2045-2322,Proteome-wide survey of the autoimmune target repertoire in autoimmune polyendoc...,"Landegren N, Sharon D, ..., Kämpe O",SCI REP-UK,26830021
513,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1038/srep33509,,5.228,Collaborative,mikael.borg@bils.se,2045-2322,ProQ3: Improved model quality assessments using Rosetta energy terms,"Uziela K, Shu N, ..., Elofsson A",SCI REP-UK,27698390
514,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1074/jbc.m115.705822,,4.258,Collaborative,mikael.borg@bils.se,0021-9258 1083-351X,Peroxisome Proliferator-activated Receptor γ Coactivator-1 α Isoforms Selectivel...,"Martínez-Redondo V, Jannig PR, ..., Ruas JL",J BIOL CHEM,
515,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1074/jbc.m115.711440,,4.258,Service,mikael.borg@bils.se,0021-9258 1083-351X,"Identification and Characterization of IgdE, a Novel IgG-degrading Protease of S...","Spoerry C, Seele J, ..., von Pawel-Rammingen U",J BIOL CHEM,26861873
516,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1093/annonc/mdw429,,9.269,Collaborative,mikael.borg@bils.se,0923-7534 1569-8041,Validation and development of MTH1 inhibitors for treatment of cancer,"Warpman Berglund U, Sanjiv K, ..., Helleday T",ANN ONCOL,27827301
517,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1093/bioinformatics/btv709,,5.766,Collaborative,mikael.borg@bils.se,1367-4803 1460-2059,Improved topology prediction using the terminal hydrophobic helices rule,"Peters C, Tsirigos KD, ..., Elofsson A",BIOINFORMATICS,26644416
518,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1093/bioinformatics/btw025,,5.766,Collaborative,mikael.borg@bils.se,1367-4803 1460-2059,Inclusion of dyad-repeat pattern improves topology prediction of transmembrane β...,"Hayat S, Peters C, ..., Elofsson A",BIOINFORMATICS,26794316
519,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1093/femsle/fnw057,,2.09,Collaborative,mikael.borg@bils.se,1574-6968,RNA transcript sequencing reveals inorganic sulfur compound oxidation pathways i...,"Christel S, Fridlund J, ..., Dopson M",,26956550
520,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1097/mpa.0000000000000685,,2.738,Collaborative,mikael.borg@bils.se,0885-3177,Expression of Transient Receptor Potential Channels in the Purified Human Pancre...,"Marabita F, Islam MS",PANCREAS,27464700
521,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1099/mic.0.000314,,2.268,Collaborative,mikael.borg@bils.se,1350-0872 1465-2080,Transcriptomic analysis reveals how a lack of potassium ions increases Sulfolobu...,"Buetti-Dinh A, Friedman R, ..., Dopson M",MICROBIOL-SGM,27230583
522,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1111/mec.13520,,5.947,Collaborative,mikael.borg@bils.se,0962-1083,Transcriptome profiling of immune tissues reveals habitat-specific gene expressi...,"Huang Y, Chain FJJ, ..., Feulner PGD",MOL ECOL,
523,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1111/nph.14110,,7.21,Collaborative,mikael.borg@bils.se,0028-646X,Rye B chromosomes encode a functional Argonaute-like protein within vitroslicer ...,"Ma W, Gabriel TS, ..., Houben A",NEW PHYTOL,27468091
524,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1111/pbi.12610,,6.09,Collaborative,mikael.borg@bils.se,1467-7644,Thein silicoidentification and characterization of a bread wheat/Triticum militi...,"Abrouk M, Balcárková B, ..., Valárik M",PLANT BIOTECHNOL J,27510270
525,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1111/pce.12808,,6.169,Collaborative,mikael.borg@bils.se,0140-7791,Deletion of FtsH11 protease has impact on chloroplast structure and function inA...,"Wagner R, von Sydow L, ..., Funk C",PLANT CELL ENVIRON,27479913
526,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1111/tpj.13436,,5.468,Collaborative,mikael.borg@bils.se,0960-7412,Towards a whole-genome sequence for rye (Secale cereale L.),"Bauer E, Schmutzer T, ..., Scholz U",PLANT J,27888547
527,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1128/mbio.02164-15,,6.975,Collaborative,mikael.borg@bils.se,2150-7511,The Bee Microbiome: Impact on Bee Health and Model for Evolution and Ecology of ...,"Engel P, Kwong WK, ..., Dainat B",MBIO,27118586
528,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1139/apnm-2015-0452,,1.91,Service,mikael.borg@bils.se,1715-5312 1715-5320,Whole-body fat oxidation increases more by prior exercise than overnight fasting...,"Andersson Hall U, Edin F, ..., Madsen K",APPL PHYSIOL NUTR ME,26988766
529,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1186/s12859-016-1134-2,,2.435,Technology development,mikael.borg@bils.se,1471-2105,PRECOG: a tool for automated extraction and visualization of fitness components ...,"Fernandez-Ricaud L, Kourtchenko O, ..., Blomberg A",BMC BIOINFORMATICS,27334112
530,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1186/s12859-016-1259-3,,2.435,Service,mikael.borg@bils.se,1471-2105,Combinatorial identification of DNA methylation patterns over age in the human brain,"Torabi Moghadam B, Dabrowski M, ..., Komorowski J",BMC BIOINFORMATICS,27663458
531,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1186/s12864-016-2458-z,,3.867,Collaborative,mikael.borg@bils.se,1471-2164,Quantitative proteomics reveals protein profiles underlying major transitions in...,"Obudulu O, Bygdell J, ..., Wingsle G",BMC GENOMICS,26887814
532,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1186/s13321-016-0151-5,,3.949,Collaborative,mikael.borg@bils.se,1758-2946,Large-scale ligand-based predictive modelling using support vector machines,"Alvarsson J, Lampa S, ..., Spjuth O",J CHEMINFORMATICS,27516811
533,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1186/s13321-016-0179-6,,3.949,Collaborative,mikael.borg@bils.se,1758-2946,Towards agile large-scale predictive modelling in drug discovery with flow-based...,"Lampa S, Alvarsson J, Spjuth O",J CHEMINFORMATICS,27942268
534,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1194/jlr.m070862,,4.368,Collaborative,mikael.borg@bils.se,0022-2275 1539-7262,Both maternal and offspring Elovl2 genotypes determine systemic DHA levels in pe...,"Pauter AM, Trattner S, ..., Jacobsson A",J LIPID RES,27864326
535,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0147082,,3.057,Collaborative,mikael.borg@bils.se,1932-6203,The Story of a Hitchhiker: Population Genetic Patterns in the Invasive Barnacle ...,"Wrange A, Charrier G, ..., André C",PLOS ONE,26821161
536,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0149821,,3.057,Collaborative,mikael.borg@bils.se,1932-6203,A Multiplex Protein Panel Applied to Cerebrospinal Fluid Reveals Three New Bioma...,"Lind A, Wu D, ..., Kamali-Moghaddam M",PLOS ONE,26914813
537,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0149907,,3.057,Collaborative,mikael.borg@bils.se,1932-6203,In Situ Staining and Laser Capture Microdissection of Lymph Node Residing SIV Ga...,"Tjernlund A, Burgener A, ..., Corey L",PLOS ONE,26986062
538,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0151577,,3.057,Collaborative,mikael.borg@bils.se,1932-6203,"Metagenomic Analysis from the Interior of a Speleothem in Tjuv-Ante's Cave, Nort...","Zepeda Mendoza ML, Lundberg J, ..., Dalen L",PLOS ONE,26985997
539,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0154102,,3.057,Service,mikael.borg@bils.se,1932-6203,Short Chain Fatty Acids (SCFA) Reprogram Gene Expression in Human Malignant Epit...,"Astakhova L, Ngara M, ..., Matskova L",PLOS ONE,27441625
540,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0155757,,3.057,Collaborative,mikael.borg@bils.se,1932-6203,Metagenomic Analysis of the Indian Ocean Picocyanobacterial Community: Structure...,"Díez B, Nylander JAA, ..., Bergman B",PLOS ONE,27196065
541,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0159105,,3.057,Collaborative,mikael.borg@bils.se,1932-6203,DNA Content in Extracellular Vesicles Isolated from Porcine Coronary Venous Bloo...,"Svennerholm K, Rodsand P, ..., Haney M",PLOS ONE,27434143
542,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.1371/journal.pone.0160334,,3.057,Collaborative,mikael.borg@bils.se,1932-6203,"MetLab: An In Silico Experimental Design, Simulation and Analysis Tool for Viral...","Norling M, Karlsson-Lindsjö OE, ..., Hayer J",PLOS ONE,27479078
543,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.15252/embr.201541866,,7.739,Collaborative,mikael.borg@bils.se,1469-221X 1469-3178 1469-221X 1469-3178,Regulating retrotransposon activity through the use of alternative transcription...,"Persson J, Steglich B, ..., Ekwall K",EMBO REP,26902262
544,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.18632/oncotarget.11773,,5.008,Collaborative,mikael.borg@bils.se,1949-2553,Deep targeted sequencing in pediatric acute lymphoblastic leukemia unveils disti...,"Mårten Lindqvist C, Lundmark A, ..., Syvänen A",ONCOTARGET,
545,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.18632/oncotarget.7246,,5.008,Service,mikael.borg@bils.se,1949-2553,EPH/ephrin profile and EPHB2 expression predicts patient survival in breast cancer,,ONCOTARGET,26870995
546,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.3109/10428194.2016.1140164,,3.093,Collaborative,mikael.borg@bils.se,1042-8194 1029-2403,Serum nuclear magnetic resonance-based metabolomics and outcome in diffuse large...,"Stenson M, Pedersen A, ..., Andersson P",LEUKEMIA LYMPHOMA,26887805
547,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.3897/mycokeys.13.8579,,1.846,Collaborative,mikael.borg@bils.se,1314-4049 1314-4057,Detection of signal recognition particle (SRP) RNAs in the nuclear ribosomal int...,"Nilsson RH, Alm Rosenblad M, ..., Abarenkov K",MYCOKEYS,
548,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.4143/crt.2016.080,,4.245,Collaborative,mikael.borg@bils.se,1598-2998 2005-9256,Induction of Apoptosis in Intestinal Toxicity to a Histone Deacetylase Inhibitor...,"Kalanxhi E, Risberg K, ..., Ree AH",CANCER RES TREAT,27488871
549,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.7554/elife.12081,,8.282,Collaborative,mikael.borg@bils.se,2050-084X,The genetic basis for ecological adaptation of the Atlantic herring revealed by ...,"Martinez Barrio A, Lamichhaney S, ..., Andersson L",ELIFE,27138043
550,National Bioinformatics Infrastructure Sweden,Bioinformatics Short-term Support and Infrastructure (BILS),10.7717/peerj.1593,,2.183,Collaborative,mikael.borg@bils.se,2167-8359,Reconstructing ecosystem functions of the active microbial community of the Balt...,"Thureborn P, Franzetti A, ..., Sjöling S",PEERJ,26823996
551,National Bioinformatics Infrastructure Sweden,Systems Biology,10.1002/wsbm.1321,,3.027,Technology development,thomas.svensson@scilifelab.se,1939-5094,In search for symmetries in the metabolism of cancer,"Gatto F, Nielsen J",WIRES SYST BIOL MED,
552,National Bioinformatics Infrastructure Sweden,Systems Biology,10.1016/j.celrep.2016.04.056,,7.87,Technology development,thomas.svensson@scilifelab.se,2211-1247,Glycosaminoglycan Profiling in Patients’ Plasma and Urine Predicts the Occurrenc...,"Gatto F, Volpi N, ..., Nielsen J",CELL REP,27184840
553,National Bioinformatics Infrastructure Sweden,Systems Biology,10.1016/j.celrep.2016.06.038,,7.87,Technology development,thomas.svensson@scilifelab.se,2211-1247,Systematic Analysis Reveals that Cancer Mutations Converge on Deregulated Metabo...,"Gatto F, Schulze A, Nielsen J",CELL REP,27396332
554,National Bioinformatics Infrastructure Sweden,Systems Biology,10.1016/j.ymben.2016.10.022,,?,Technology development,thomas.svensson@scilifelab.se,,,,,27805003
555,National Bioinformatics Infrastructure Sweden,Systems Biology,10.1039/c6mb00476h,,2.829,Technology development,thomas.svensson@scilifelab.se,1742-206X 1742-2051,Integrative analysis of human omics data using biomolecular networks,"Robinson JL, Nielsen J",MOL BIOSYST,27510223
556,National Bioinformatics Infrastructure Sweden,Systems Biology,10.1093/nar/gkw462,,9.202,Technology development,thomas.svensson@scilifelab.se,0305-1048 1362-4962,Dysregulated signaling hubs of liver lipid metabolism reveal hepatocellular carc...,"Lee S, Mardinoglu A, ..., Nielsen J",NUCLEIC ACIDS RES,27216817
557,National Bioinformatics Infrastructure Sweden,Systems Biology,10.1186/s13045-016-0249-2,,6.263,Technology development,thomas.svensson@scilifelab.se,1756-8722,Systematic analysis of overall survival and interactions between tumor mutations...,"Gatto F, Nielsen J",J HEMATOL ONCOL,26936071
558,National Bioinformatics Infrastructure Sweden,Systems Biology,10.15252/msb.20155865,,10.581,Technology development,thomas.svensson@scilifelab.se,1744-4292,Transcriptomics resources of human tissues and organs,"Uhlen M, Hallstro m BM, ..., Nielsen J",MOL SYST BIOL,27044256
559,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1002/ajmg.a.37387,27726124,2.082,Service,max.kaller@scilifelab.se,1552-4825,Pathogenenic variant in theCOL2A1gene is associated with Spondyloepiphyseal dysp...,"Hammarsjö A, Nordgren A, ..., Grigelioniene G",AM J MED GENET A,
560,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1002/gcc.22363,27013051,3.96,Service,max.kaller@scilifelab.se,1045-2257,The role of germline alterations in the DNA damage response genesBRIP1andBRCA2in...,"Tuominen R, Engström PG, ..., Höiom V",GENE CHROMOSOME CANC,27074266
561,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1002/humu.23146,26842059,5.089,Service,max.kaller@scilifelab.se,1059-7794,Whole-Genome Sequencing of Cytogenetically Balanced Chromosome Translocations Id...,"Nilsson D, Pettersson M, ..., Lindstrand A",HUM MUTAT,27862604
562,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1002/jbmr.2834,27148206,5.622,Service,max.kaller@scilifelab.se,0884-0431,Spondyloocular Syndrome: Novel Mutations inXYLT2Gene and Expansion of the Phenot...,"Taylan F, Costantini A, ..., Mäkitie O",J BONE MINER RES,26987875
563,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1007/s00204-016-1879-4,27624716,6.637,Service,max.kaller@scilifelab.se,0340-5761 1432-0738,Transcriptomics and methylomics of CD4-positive T cells in arsenic-exposed women,"Engström K, Wojdacz TK, ..., Broberg K",ARCH TOXICOL,27838757
564,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1007/s00439-016-1743-x,,5.138,Service,max.kaller@scilifelab.se,0340-6717 1432-1203,Identification of new TRIP12 variants and detailed clinical evaluation of indivi...,"Bramswig NC, Lüdecke H, ..., Wieczorek D",HUM GENET,27848077
565,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1007/s00592-015-0811-3,26685868,3.074,Service,max.kaller@scilifelab.se,0940-5429 1432-5233,GPR44 is a pancreatic protein restricted to the human beta cell,"Hellström-Lindahl E, Danielsson A, ..., Eriksson O",ACTA DIABETOL,26467464
566,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1007/s00792-016-0882-2,27365449,2.346,Service,max.kaller@scilifelab.se,1431-0651 1433-4909,Acidithiobacillus ferrivorans SS3 presents little RNA transcript response relat...,"Christel S, Fridlund J, ..., Dopson M",EXTREMOPHILES,
567,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.cell.2016.09.027,27739446,28.71,Service,max.kaller@scilifelab.se,0092-8674,"Molecular Diversity of Midbrain Development in Mouse, Human, and Stem Cells","La Manno G, Gyllborg D, ..., Linnarsson S",CELL,27716510
568,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.celrep.2016.07.070,27303036,7.87,Service,max.kaller@scilifelab.se,2211-1247,"The Adipose Transcriptional Response to Insulin Is Determined by Obesity, Not In...","Rydén M, Hrydziuszko O, ..., Arner P",CELL REP,27545890
569,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.ejpn.2016.01.009,27242706,1.923,Service,max.kaller@scilifelab.se,1090-3798,Biotin and Thiamine Responsive Basal Ganglia Disease – A vital differential diag...,"Ygberg S, Naess K, ..., Wickström R",EUR J PAEDIATR NEURO,26975589
570,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.jaci.2016.06.040,27196065,12.485,Service,max.kaller@scilifelab.se,0091-6749,Antibody-encoding repertoires of bone marrow and peripheral blood—a focus on IgE,"Levin M, Levander F, ..., Ohlin M",J ALLERGY CLIN IMMUN,27521279
571,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.resmic.2016.04.010,26794043,2.154,Service,max.kaller@scilifelab.se,0923-2508,Electricity generation from an inorganic sulfur compound containing mining waste...,"Ni G, Christel S, ..., Dopson M",RES MICROBIOL,27155452
572,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.scitotenv.2016.02.103,27871145,3.976,Service,max.kaller@scilifelab.se,0048-9697,Minimal selective concentrations of tetracycline in complex aquatic bacterial bi...,"Lundström SV, Östman M, ..., Larsson DJ",SCI TOTAL ENVIRON,26938321
573,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.scitotenv.2016.06.228,27760161,3.976,Service,max.kaller@scilifelab.se,0048-9697,Elucidating selection processes for antibiotic resistance in sewage treatment pl...,"Bengtsson-Palme J, Hammarén R, ..., Larsson DJ",SCI TOTAL ENVIRON,27542633
574,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.ymben.2016.10.010,PMID: 27815194,?,Service,max.kaller@scilifelab.se,,,,,27805003
575,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1017/pao.2016.14,26956800,Kan inte hitta,Collaborative,max.kaller@scilifelab.se,2055-7094,Overexpression of Trypanosoma rangeli trypanothione reductase increases parasite...,"BELTRAME-BOTELHO I, STOCO P, ..., GRISARD E",,
576,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/bjc.2016.261,27506796,5.569,Service,max.kaller@scilifelab.se,0007-0920 1532-1827,Virome characterisation from Guthrie cards in children who later developed acute...,"Bogdanovic G, Pou C, ..., Gustafsson B",BRIT J CANCER,27552439
577,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/ismej.2015.185,26420734,9.328,Service,max.kaller@scilifelab.se,1751-7362 1751-7370,Microbial metagenomes from three aquifers in the Fennoscandian shield terrestria...,"Wu X, Holmfeldt K, ..., Dopson M",ISME J,26484735
578,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/modpathol.2016.34,27306515,5.485,Service,max.kaller@scilifelab.se,0893-3952 1530-0285,Digital image analysis outperforms manual biomarker assessment in breast cancer,"Stålhammar G, Fuentes Martinez N, ..., Hartman J",MODERN PATHOL,26916072
579,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/nature16520,27545890,38.138,Service,max.kaller@scilifelab.se,0028-0836 1476-4687,Xenacoelomorpha is the sister group to Nephrozoa,"Cannon JT, Vellutini BC, ..., Hejnol A",NATURE,26842059
580,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/ncomms13182,26947740,11.329,Service,max.kaller@scilifelab.se,2041-1723,Massive and parallel expression profiling using microarrayed single-cell sequencing,"Vickovic S, Ståhl PL, ..., Lundeberg J",NAT COMMUN,27739429
581,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/onc.2016.242,26823996,7.932,Service,max.kaller@scilifelab.se,0950-9232 1476-5594,microRNAs with AAGUGC seed motif constitute an integral part of an oncogenic sig...,"Zhou Y, Frings O, ..., Orre LM",ONCOGENE,27477696
582,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep22919,26975589,5.228,Service,max.kaller@scilifelab.se,2045-2322,Whole genome sequencing identifies a novel species of the genus Capnocytophaga i...,"Zangenah S, Abbasi N, ..., Bergman P",SCI REP-UK,26947740
583,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep23518,27074266,5.228,Service,max.kaller@scilifelab.se,2045-2322,The chemosensory receptors of codling moth Cydia pomonella–expression in larvae ...,"Walker WB, Gonzalez F, ..., Witzgall P",SCI REP-UK,27006164
584,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep27003,26987875,5.228,Service,max.kaller@scilifelab.se,2045-2322,Thermotolerant yeasts selected by adaptive evolution express heat stress respons...,"Caspeta L, Chen Y, Nielsen J",SCI REP-UK,27229477
585,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep29085,27477696,5.228,Service,max.kaller@scilifelab.se,2045-2322,Exome sequencing in pooled DNA samples to identify maternal pre-eclampsia risk v...,"Kaartokallio T, Wang J, ..., Laivuori H",SCI REP-UK,27384325
586,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep33256,27849009,5.228,Service,max.kaller@scilifelab.se,2045-2322,Investigation of rare and low-frequency variants using high-throughput sequencin...,"Wang J, Skoog T, ..., Jiao H",SCI REP-UK,27633116
587,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep35112,27542633,5.228,Service,max.kaller@scilifelab.se,2045-2322,"Penicillium arizonense, a new, genome sequenced fungal species, reveals a high c...","Grijseels S, Nielsen JC, ..., Frisvad JC",SCI REP-UK,27739446
588,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep37137,27231014,5.228,Service,max.kaller@scilifelab.se,2045-2322,An automated approach to prepare tissue-derived spatially barcoded RNA-sequencin...,"Jemt A, Salmén F, ..., Lundeberg J",SCI REP-UK,27849009
589,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1073/pnas.1600567113,26912797,9.423,Service,max.kaller@scilifelab.se,0027-8424 1091-6490,Conserved 33-kb haplotype in the MHC class III region regulates chronic arthritis,"Yau ACY, Tuncel J, ..., Holmdahl R",P NATL ACAD SCI USA,27303036
590,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1073/pnas.1607504113,27657503,9.423,Service,max.kaller@scilifelab.se,0027-8424 1091-6490,Oxidation and cyclization of casbene in the biosynthesis ofEuphorbiafactors from...,"Luo D, Callari R, ..., Hamberger B",P NATL ACAD SCI USA,27506796
591,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1080/01490451.2016.1225868,,1.402,Service,max.kaller@scilifelab.se,0149-0451 1521-0529,Mineral Type Structures Soil Microbial Communities,"Ahmed E, Hugerth LW, ..., Holmström SJM",GEOMICROBIOL J,
592,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1091/mbc.E15-10-0697,27431458,4.037,Service,max.kaller@scilifelab.se,1059-1524,Cytosolic splice isoform of Hsp70 nucleotide exchange factor Fes1 is required fo...,"Gowda NKC, Kaimal JM, ..., Andreasson C",MOL BIOL CELL,
593,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1091/mbc.E16-03-0187,26797895,4.037,Service,max.kaller@scilifelab.se,1059-1524,Adaptation to different types of stress converge on mitochondrial metabolism,"Lahtvee P, Kumar R, ..., Nielsen J",MOL BIOL CELL,27307591
594,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1093/bioinformatics/btw354,27739429,5.766,Service,max.kaller@scilifelab.se,1367-4803 1460-2059,MultiQC: summarize analysis results for multiple tools and samples in a single r...,"Ewels P, Magnusson M, ..., Käller M",BIOINFORMATICS,27312411
595,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1093/femsle/fnw057,26585430,2.09,Collaborative,max.kaller@scilifelab.se,1574-6968,RNA transcript sequencing reveals inorganic sulfur compound oxidation pathways i...,"Christel S, Fridlund J, ..., Dopson M",,26956550
596,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1093/molbev/msw051,27818655,13.649,Service,max.kaller@scilifelab.se,0737-4038 1537-1719,Variation in Linked Selection and Recombination Drive Genomic Divergence during ...,"Wang J, Street NR, ..., Ingvarsson PK",MOL BIOL EVOL,
597,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1093/molbev/msw186,27155452,13.649,Service,max.kaller@scilifelab.se,0737-4038 1537-1719,"Evolutionary History of the Nesophontidae, the Last Unplaced Recent Mammal Family","Brace S, Thomas JA, ..., Turvey ST",MOL BIOL EVOL,27624716
598,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1093/nar/gkw316,27848077,9.202,Service,max.kaller@scilifelab.se,0305-1048 1362-4962,Single base resolution analysis of 5-hydroxymethylcytosine in 188 human genes: i...,"Ivanov M, Kals M, ..., Ingelman-Sundberg M",NUCLEIC ACIDS RES,27131363
599,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/1462-2920.13407,26983554,5.932,Service,max.kaller@scilifelab.se,1462-2912,Distribution and expression of microbial rhodopsins in the Baltic Sea and adjace...,"Brindefalk B, Ekman M, ..., Bergman B",ENVIRON MICROBIOL,27306515
600,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/1462-2920.13592,26938321,5.932,Service,max.kaller@scilifelab.se,1462-2912,"Meta-omic analyses of Baltic Sea cyanobacteria: Diversity, community structure a...","Celepli N, Sundh J, ..., Ininbergs K",ENVIRON MICROBIOL,27871145
601,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/acel.12433,27502941,5.76,Service,max.kaller@scilifelab.se,1474-9718,Global genome splicing analysis reveals an increased number of alternatively spl...,"Rodríguez SA, Grochová D, ..., Eriksson M",AGING CELL,26685868
