National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Bizuayehu TT, Lanes CF, Furmanek T, et al",Differential expression patterns of conserved miRNAs and isomiRs during Atlantic...,BMC Genomics,13,,11,2012,,4.397,22233483
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Solnestam BW, Stranneheim H, Hällman J, et al",Comparison of total and cytoplasmic mRNA reveals global regulation by nuclear re...,BMC Genomics,13,,574,2012,,4.397,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hooper SD, Johansson AC, Tellgren-Roth C, et al",Genome-wide sequencing for the identification of rearrangements associated with ...,BMC Med Genet,13,,123,2012,,2.536,23253088
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Khan TN, Klar J, Nawaz S, et al",Novel missense mutation in the RSPO4 gene in congenital hyponychia and evidence ...,BMC Med Genet,13,,120,2012,,2.536,23234511
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Rask-Andersen M, Jacobsson JA, Moschonis G, et al",The MAP2K5-linked SNP rs2241423 is associated with BMI and obesity in two cohort...,BMC Med Genet,13,,36,2012,,2.536,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hooper SD, Jiao X, Sundström E, et al","Sequence based analysis of U-2973, a cell line established from a double-hit B-c...",BMC Res Notes,5,,648,2012,,N/A,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Davanian H, Båge T, Lindberg J, et al",Signaling pathways involved in the regulation of TNFα-induced toll-like receptor...,Cytokine,57,3,406-416,2012,,2.518,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Mohammad F, Pandey GK, Mondal T, et al",Long noncoding RNA-mediated maintenance of DNA methylation and transcriptional g...,Development,139,15,2792-2803,2012,,6.208,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Berger I, Dor T, Halvardson J, et al",Intractable epilepsy of infancy due to homozygous mutation in the EFHC1 gene.,Epilepsia,53,8,1436-1440,2012,,3.909,22690745
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Azhar A, Tariq M, Baig SM, et al",A novel mutation in lysophosphatidic acid receptor 6 gene in autosomal recessive...,Eur J Dermatol,22,4,464-466,2012,,1.756,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Nawaz S, Tariq M, Ahmad I, et al",Non-bullous congentital ichthyosiform erythroderma associated with homozygosity ...,Eur J Dermatol,22,2,178-181,2012,,1.756,22257947
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Zaboli G, Ameur A, Igl W, et al",Sequencing of high-complexity DNA pools for identification of nucleotide and str...,Eur J Hum Genet,20,1,77-83,2012,,4.319,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Nicolaisen MH, Worm J, Jørgensen NO, et al",Proteinase production in Pseudomonas fluorescens ON2 is affected by carbon sourc...,FEMS Microbiol Ecol,80,1,168-178,2012,,3.563,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hasmats J, Kupershmidt I, Rodríguez-Antona C, et al",Identification of candidate SNPs for drug induced toxicity from differentially e...,Gene,506,1,62-68,2012,,2.196,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Akan P, Alexeyenko A, Costea PI, et al",Comprehensive analysis of the genome transcriptome and proteome landscapes of th...,Genome Med,4,11,86,2012,,3.906,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ekdahl Y, Farahani HS, Behm M, et al",A-to-I editing of microRNAs in the mammalian brain increases during development.,Genome Res,22,8,1477-1487,2012,,14.397,22645261
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Silberberg G, Lundin D, Navon R, et al",Deregulation of the A-to-I RNA editing mechanism in psychiatric disorders.,Hum Mol Genet,21,2,311-321,2012,,7.692,21984433
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Besemer K, Peter H, Logue JB, et al",Unraveling assembly of stream biofilm communities.,ISME J,6,8,1459-1468,2012,,8.951,22237539
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Logue JB, Langenheder S, Andersson AF, et al",Freshwater bacterioplankton richness in oligotrophic lakes depends on nutrient a...,ISME J,6,6,1127-1136,2012,,8.951,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Martinez-Garcia M, Swan BK, Poulton NJ, et al",High-throughput single-cell sequencing identifies photoheterotrophs and chemoaut...,ISME J,6,1,113-123,2012,,8.951,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Abrahamsson TR, Jakobsson HE, Andersson AF, et al",Low diversity of the gut microbiota in infants with atopic eczema.,J Allergy Clin Immun,129,2,"434-40, 440.e1-2",2012,,12.047,22153774
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Wennman A, Jernerén F, Hamberg M, et al",Catalytic convergence of manganese and iron lipoxygenases by replacement of a si...,J Biol Chem,287,38,31757-31765,2012,,4.651,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Cendejas-Bueno E, Kolecka A, Alastruey-Izquierdo A, et al",Reclassification of the Candida haemulonii complex as Candida haemulonii (C. hae...,J Clin Microbiol,50,11,3641-3651,2012,,4.068,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Västermark Å, Jacobsson JA, Johansson Å, et al",Polymorphisms in sh2b1 and spns1 loci are associated with triglyceride levels in...,J Genet,91,2,237-240,2012,,0.876,22942098
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ostrowska Dahlgren B, Allen M, Lindström AC, et al",A novel variant in plakophilin-2 gene detected in a family with arrhythmogenic r...,J Interv Card Electr,34,1,11-18,2012,,1.386,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Papini M, Nookaew I, Uhlén M, et al",Scheffersomyces stipitis: a comparative systems biology study with the Crabtree ...,Microb Cell Fact,11,,136,2012,,3.306,23043429
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Whisson S, Vetukuri R, Avrova A, et al",Can silencing of transposons contribute to variation in effector gene expression...,Mob Genet Elements,2,2,110-114,2012,,N/A,22934246
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Heddini U, Bohm-Starke N, Grönbladh A, et al",GCH1-polymorphism and pain sensitivity among women with provoked vestibulodynia.,Mol Pain,8,,68,2012,,3.774,22971341
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Karlsson FH, Fåk F, Nookaew I, et al",Symptomatic atherosclerosis is associated with an altered gut metagenome.,Nat Commun,3,,1245,2012,,10.015,23212374
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Melkersson K, Persson B",Evidence for a negative association between schizophrenia and a polymorphism in ...,Neuroendocrinol Lett,33,3,321-330,2012,,0.932,22635093
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Nookaew I, Papini M, Pornputtapong N, et al",A comprehensive comparison of RNA-Seq-based transcriptome analysis from reads to...,Nucleic Acids Res,40,20,10084-10097,2012,,8.278,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Edlund K, Larsson O, Ameur A, et al",Data-driven unbiased curation of the TP53 tumor suppressor gene mutation databas...,P Natl Acad Sci U S A,109,24,9551-9556,2012,,9.737,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Rubin CJ, Megens HJ, Martinez Barrio A, et al",Strong signatures of selection in the domestic pig genome.,P Natl Acad Sci U S A,109,48,19529-19536,2012,,9.737,23151514
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Karlgren M, Ahlin G, Bergström CA, et al",In vitro and in silico strategies to identify OATP1B1 inhibitors and predict cli...,Pharm Res-DORDR,29,2,411-426,2012,,4.742,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Berlin A, Djurle A, Samils B, et al","Genetic variation in Puccinia graminis collected from oats, rye, and barberry.",Phytopathology,102,10,1006-1012,2012,,2.968,22734559
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Blandón-Díaz JU, Widmark AK, Hannukkala A, et al",Phenotypic variation within a clonal lineage of Phytophthora infestans infecting...,Phytopathology,102,3,323-330,2012,,2.968,22085300
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Grönberg L, Andersson B, Yuen J",Can weed hosts increase aggressiveness of Phytophthora infestans on potato?,Phytopathology,102,4,429-433,2012,,2.968,22185335
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Kindgren P, Kremnev D, Blanco NE, et al",The plastid redox insensitive 2 mutant of Arabidopsis is impaired in PEP activit...,Plant J,70,2,279-291,2012,,6.582,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Holmqvist PH, Boija A, Philip P, et al",Preferential genome targeting of the CBP co-activator by Rel and Smad proteins i...,PLoS Genet,8,6,e1002769,2012,,8.517,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Imsland F, Feng C, Boije H, et al",The Rose-comb mutation in chickens constitutes a structural rearrangement causin...,PLoS Genet,8,6,e1002775,2012,,8.517,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Johnsson M, Gustafson I, Rubin CJ, et al",A sexual ornament in chickens is affected by pleiotropic alleles at HAO1 and BMP...,PLoS Genet,8,8,e1002914,2012,,8.517,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Olszewski PK, Rozman J, Jacobsson JA, et al","Neurobeachin, a regulator of synaptic protein targeting, is associated with body...",PLoS Genet,8,3,e1002568,2012,,8.517,22438821
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Davanian H, Stranneheim H, Båge T, et al",Gene expression profiles in paired gingival biopsies from periodontitis-affected...,PLoS One,7,9,e46440,2012,,3.73,23029519
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Grundström J, Reimer JM, Magnusson SE, et al","Human cord blood derived immature basophils show dual characteristics, expressin...",PLoS One,7,10,e48308,2012,,3.73,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Edlund A, Ek K, Breitholtz M, et al",Antibiotic-induced change of bacterial communities associated with the copepod N...,PLoS One,7,3,e33107,2012,,3.73,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Enroth S, Bornelöv S, Wadelius C, et al",Combinations of histone modifications mark exon inclusion levels.,PLoS One,7,1,e29911,2012,,3.73,22242188
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Neiman M, Sundling S, Grönberg H, et al",Library preparation and multiplex capture for massive parallel sequencing applic...,PLoS One,7,11,e48616,2012,,3.73,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Vetukuri RR, Åsman AK, Tellgren-Roth C, et al",Evidence for small RNAs homologous to effector-encoding genes and transposable e...,PLoS One,7,12,e51399,2012,,3.73,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Dahlqvist J, Törmä H, Badhai J, et al",siRNA silencing of proteasome maturation protein (POMP) activates the unfolded p...,PLoS One,7,1,e29471,2012,,3.73,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Wik L, Mikko S, Klingeborn M, et al",Polymorphisms and variants in the prion protein sequence of European moose (Alce...,Prion,6,3,256-260,2012,,2.133,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Modén O, Zhang W, Mannervik B",Mutational analysis of human glutathione transferase A2-2 identifies structural ...,Protein Eng Des Sel,25,4,189-197,2012,,2.588,22334756
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Avesson L, Reimegård J, Wagner EG, et al",MicroRNAs in Amoebozoa: deep sequencing of the small RNA population in the socia...,RNA,18,10,1771-1782,2012,,5.088,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hudson EP, Uhlen M, Rockberg J",Multiplex epitope mapping using bacterial surface display reveals both linear an...,Sci Rep-UK,2,,706,2012,,2.927,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Tariq M, Azhar A, Baig SM, et al",A novel mutation in the Lipase H gene underlies autosomal recessive hypotrichosi...,Sci Rep-UK,2,,730,2012,,2.927,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Wallménius K, Pettersson JH, Jaenson TG, et al","Prevalence of Rickettsia spp., Anaplasma phagocytophilum, and Coxiella burnetii ...",Ticks Tick-Borne Dis,3,2,100-106,2012,,2.353,22487426
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Marincevic-Zuniga Y, Gustavsson I, Gyllensten U",Multiply-primed rolling circle amplification of human papillomavirus using seque...,Virology,432,1,57-62,2012,,3.367,22739442
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Nettleton JA, Hivert MF, Lemaitre RN, et al",Meta-analysis investigating associations between healthy diet and fasting glucos...,Am J Epidemiol,177,2,103-115,2013,,4.975,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hemani G, Yang J, Vinkhuyzen A, et al",Inference of the genetic architecture underlying BMI and height with the use of ...,Am J Hum Genet,93,5,865-875,2013,,10.987,24183453
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hu YJ, Berndt SI, Gustafsson S, et al",Meta-analysis of gene-level associations for rare variants based on single-varia...,Am J Hum Genet,93,2,236-248,2013,,10.987,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Anfelt J, Hallström B, Nielsen J, et al",Using transcriptomics to improve butanol tolerance of Synechocystis sp. strain P...,Appl Environ Microb,79,23,7419-7427,2013,,3.952,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ganna A, Magnusson PK, Pedersen NL, et al",Multilocus genetic risk scores for coronary heart disease prediction.,Arterioscl Throm Vas,33,9,2267-2272,2013,,5.533,23685553
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Moestedt J, Nilsson Påledal S, Schnürer A",The effect of substrate and operational parameters on the abundance of sulphate-...,Bioresour Technol,132,,327-332,2013,,5.039,23416620
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Zaghlool A, Ameur A, Nyberg L, et al",Efficient cellular fractionation improves RNA sequencing analysis of mature and ...,BMC Biotechnol,13,,99,2013,,2.592,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Cetinkaya C, Martinsson T, Sandgren J, et al",Age dependence of tumor genetics in unfavorable neuroblastoma: arrayCGH profiles...,BMC Cancer,13,,231,2013,,3.319,23656755
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Berglund EC, Lindqvist CM, Hayat S, et al",Accurate detection of subclonal single nucleotide variants in whole genome ampli...,BMC Genomics,14,,856,2013,,4.041,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Djos A, Fransson S, Kogner P, et al",Aneuploidy in neuroblastoma tumors is not associated with inactivating point mut...,BMC Med Genet,14,,102,2013,,2.45,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Lazar V, Suo C, Orear C, et al",Integrated molecular portrait of non-small cell lung cancers.,BMC Med Genomics,6,,53,2013,,3.914,24299561
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Wegner KM, Volkenborn N, Peter H, et al",Disturbance induced decoupling between host genetics and composition of the asso...,BMC Microbiol,13,,252,2013,,2.976,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Sabater-Lleal M, Huang J, Chasman D, et al",Multiethnic meta-analysis of genome-wide association studies in >100 000 subject...,Circulation,128,12,1310-1324,2013,,14.948,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),Söderhäll I,Recent advances in crayfish hematopoietic stem cell culture: a model for studies...,Cytotechnology,65,5,691-695,2013,,1.449,23686548
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Witman N, Heigwer J, Thaler B, et al","miR-128 regulates non-myocyte hyperplasia, deposition of extracellular matrix an...",Dev Biol,383,2,253-263,2013,,3.637,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Noonin C, Watthanasurorot A, Winberg S, et al",Circadian regulation of melanization and prokineticin homologues is conserved in...,Dev Comp Immunol,40,2,218-226,2013,,3.705,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Karlsson E, Svensson K, Lindgren P, et al",The phylogeographic pattern of Francisella tularensis in Sweden indicates a Scan...,Environ Microbiol,15,2,634-645,2013,,6.24,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Svensson J, Fick J, Brandt I, et al",The synthetic progestin levonorgestrel is a potent androgen in the three-spined ...,Environ Sci Technol,47,4,2043-2051,2013,,5.481,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Cui T, Tsolakis AV, Li SC, et al",Olfactory receptor 51E1 protein as a potential novel tissue biomarker for small ...,Eur J Endocrinol,168,2,253-261,2013,,3.686,23184910
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Rahman I, Humphreys K, Bennet AM, et al","Clinical depression, antidepressant use and risk of future cardiovascular diseas...",Eur J Epidemiol,28,7,589-595,2013,,5.147,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Khan TN, Klar J, Ali Z, et al",Cenani-Lenz syndrome restricted to limb and kidney anomalies associated with a n...,Eur J Med Genet,56,7,371-374,2013,,1.486,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Lindberg J, Klevebring D, Liu W, et al",Exome sequencing of prostate cancer supports the hypothesis of independent tumou...,Eur Urol,63,2,347-353,2013,,12.48,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Lindberg J, Mills IG, Klevebring D, et al",The mitochondrial and autosomal mutation landscapes of prostate cancer.,Eur Urol,63,4,702-708,2013,,12.48,23265383
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Pettersson BM, Nitharwal RG, Das S, et al",Identification and expression of stressosomal proteins in Mycobacterium marinum ...,FEMS Microbiol Lett,342,2,98-105,2013,,2.046,23480639
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Höiom V, Edsgärd D, Helgadottir H, et al",Hereditary uveal melanoma: a report of a germline mutation in BAP1.,Gene Chromosome Canc,52,4,378-384,2013,,3.836,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Mohajeri A, Tayebwa J, Collin A, et al",Comprehensive genetic analysis identifies a pathognomonic NAB2/STAT6 fusion gene...,Gene Chromosome Canc,52,10,873-886,2013,,3.836,23761323
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Stephens SH, Hartz SM, Hoft NR, et al",Distinct loci in the CHRNA5/CHRNA3/CHRNB4 gene cluster are associated with onset...,Genet Epidemiol,37,8,846-859,2013,,2.951,24186853
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Karlsson EK, Sigurdsson S, Ivansson E, et al","Genome-wide analyses implicate 33 loci in heritable dog osteosarcoma, including ...",Genome Biol,14,12,R132,2013,,10.465,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Nordlund J, Bäcklin CL, Wahlberg P, et al",Genome-wide signatures of differential DNA methylation in pediatric acute lympho...,Genome Biol,14,9,r105,2013,,10.465,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Zaremba-Niedzwiedzka K, Viklund J, Zhao W, et al",Single-cell genomics reveal low recombination frequencies in freshwater bacteria...,Genome Biol,14,11,R130,2013,,10.465,24286338
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Paulsson K, Forestier E, Andersen MK, et al",High modal number and triple trisomies are highly correlated favorable factors i...,Haematologica,98,9,1424-1432,2013,,5.868,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ganna A, Rivadeneira F, Hofman A, et al",Genetic determinants of mortality. Can findings from genome-wide association stu...,Hum Genet,132,5,553-561,2013,,4.522,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Cousminer DL, Berry DJ, Timpson NJ, et al",Genome-wide association and longitudinal analyses reveal genetic loci linking pu...,Hum Mol Genet,22,13,2735-2747,2013,,6.677,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Karlsson R, Andreassen KE, Kristiansen W, et al",Investigation of six testicular germ cell tumor susceptibility genes suggests a ...,Hum Mol Genet,22,16,3373-3380,2013,,6.677,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hong MG, Karlsson R, Magnusson PK, et al",A genome-wide assessment of variability in human serum metabolism.,Hum Mutat,34,3,515-524,2013,,5.122,23281178
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Klar J, Sobol M, Melberg A, et al",Welander distal myopathy caused by an ancient founder mutation in TIA1 associate...,Hum Mutat,34,4,572-577,2013,,5.122,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Wu C, Charoensapsri W, Nakamura S, et al","An MBL-like protein may interfere with the activation of the proPO-system, an im...",Immunobiology,218,2,159-168,2013,,3.18,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Dahl AK, Reynolds CA, Fall T, et al",Multifactorial analysis of changes in body mass index across the adult life cour...,Int J Obesity,38,8,1133-1141,2013,,5.386,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Sällman Almén M, Rask-Andersen M, Jacobsson JA, et al",Determination of the obesity-associated gene variants within the entire FTO gene...,Int J Obesity,37,3,424-431,2013,,5.386,22531089
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Farnelid H, Bentzon-Tilia M, Andersson AF, et al",Active nitrogen-fixing heterotrophic bacteria at and below the chemocline of the...,ISME J,7,7,1413-1423,2013,,9.267,23446833
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Fortunato CS, Eiler A, Herfort L, et al",Determining indicator taxa across spatial and seasonal gradients in the Columbia...,ISME J,7,10,1899-1911,2013,,9.267,23719153
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Gyarmati P, Song Y, Hällman J, et al",Chemical fragmentation for massively parallel sequencing library preparation.,J Biotechnol,168,1,95-100,2013,,2.884,23994687
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Song C, Chang Z, Magnusson PK, et al",Genetic factors may play a prominent role in the development of coronary heart d...,J Intern Med,275,6,631-639,2013,,5.785,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Wennman A, Oliw EH","Secretion of two novel enzymes, manganese 9S-lipoxygenase and epoxy alcohol synt...",J Lipid Res,54,3,762-775,2013,,4.73,23233731
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Forsberg LA, Absher D, Dumanski JP",Non-heritable genetics of human disease: spotlight on post-zygotic genetic varia...,J Med Genet,50,1,1-10,2013,,5.636,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Kvarnung M, Nilsson D, Lindstrand A, et al",A novel intellectual disability syndrome caused by GPI anchor deficiency due to ...,J Med Genet,50,8,521-528,2013,,5.636,23636107
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Watthanasurorot A, Jiravanichpaisal P, Söderhäll K, et al",A calreticulin/gC1qR complex prevents cells from dying: a conserved mechanism fr...,J Mol Cell Biol,5,2,120-131,2013,,8.432,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Pichler I, Schwienbacher C, Zanon A, et al",Fine-mapping of restless legs locus 4 (RLS4) identifies a haplotype over the SPA...,J Mol Neurosci,49,3,600-605,2013,,2.757,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hruby A, Ngwa JS, Renström F, et al","Higher magnesium intake is associated with lower fasting glucose and insulin, wi...",J Nutr,143,3,345-353,2013,,4.227,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Fagerberg L, Oksvold P, Skogs M, et al",Contribution of antibody-based protein profiling to the human Chromosome-centric...,J Proteome Res,12,6,2439-2448,2013,,5.001,23276153
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Athanasiadis G, Sabater-Lleal M, Buil A, et al",Genetic determinants of plasma β₂-glycoprotein I levels: a genome-wide associati...,J Thromb Haemost,11,3,521-528,2013,,5.55,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Chen D, Juko-Pecirep I, Hammer J, et al",Genome-wide association study of susceptibility loci for cervical cancer.,JNCI-J Natl Cancer I,105,9,624-633,2013,,15.161,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ek WE, Levine DM, D'Amato M, et al","Germline genetic contributions to risk for esophageal adenocarcinoma, Barrett's ...",JNCI-J Natl Cancer I,105,22,1711-1718,2013,,15.161,24168968
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Nikpour M, Scharenberg C, Liu A, et al",The transporter ABCB7 is a mediator of the phenotype of acquired refractory anem...,Leukemia,27,4,889-896,2013,,9.379,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Gioti A, Nystedt B, Li W, et al",Genomic insights into the atopic eczema-associated skin commensal yeast Malassez...,MBio,4,1,e00572-e00512,2013,,6.875,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Herlemann DP, Lundin D, Labrenz M, et al",Metagenomic de novo assembly of an aquatic representative of the verrucomicrobia...,MBio,4,3,e00569-e00512,2013,,6.875,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Falkenius J, Lundeberg J, Johansson H, et al",High expression of glycolytic and pigment proteins is associated with worse clin...,Melanoma Res,23,6,452-460,2013,,2.098,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hällman J, Avesson L, Reimegård J, et al",Identification and verification of microRNAs by high-throughput sequencing.,Methods and Protocols Series: Methods in Molecular Biology,983,,125-138,2013,,N/A,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Müller B, Sun L, Schnürer A",First insights into the syntrophic acetate-oxidizing bacteria--a genetic study.,Microbiologyopen,2,1,35-53,2013,,N/A,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Adolfsson S, Ellegren H",Lack of dosage compensation accompanies the arrested stage of sex chromosome evo...,Mol Biol Evol,30,4,806-810,2013,,14.308,23329687
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Berndt SI, Gustafsson S, Mägi R, et al",Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and p...,Nat Genet,45,5,501-512,2013,,29.648,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"CARDIoGRAMplusC4D Consortium , Deloukas P, Kanoni S, et al",Large-scale association analysis identifies new risk loci for coronary artery di...,Nat Genet,45,1,25-33,2013,,29.648,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Codd V, Nelson CP, Albrecht E, et al",Identification of seven loci affecting mean telomere length and their associatio...,Nat Genet,45,4,"422-7, 427e1-2",2013,,29.648,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Cross-Disorder Group of the Psychiatric Genomics Consortium , Lee SH, Ripke S, et al",Genetic relationship between five psychiatric disorders estimated from genome-wi...,Nat Genet,45,9,984-994,2013,,29.648,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"den Hoed M, Eijgelsheim M, Esko T, et al",Identification of heart rate-associated loci and their effects on cardiac conduc...,Nat Genet,45,6,621-631,2013,,29.648,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Do R, Willer CJ, Schmidt EM, et al",Common variants associated with plasma triglycerides and risk for coronary arter...,Nat Genet,45,11,1345-1352,2013,,29.648,
